Image,Model,ACC,SEN,SPE,F1_score
T1-Left,BLS-Sia net,0.698,0.739,0.676,0.651
T1-Left,Sia net,0.69,0.676,0.697,0.624
T1-Left,RF,0.651,0.661,0.645,0.601
T1-Left,KNN,0.56,0.472,0.618,0.459
T1-Left,LR,0.569,0.513,0.606,0.485
T1-Left,Senior level,0.574,0.738,0.398,0.641
T1-Left,Junior level,0.561,0.532,0.593,0.556
T1-Right,BLS-Sia net,0.703,0.34,0.848,0.390
T1-Right,Sia net,0.694,0.405,0.806,0.426
T1-Right,RF,0.701,0.24,0.871,0.303
T1-Right,KNN,0.659,0.176,0.838,0.219
T1-Right,LR,0.648,0.267,0.788,0.291
T1-Right,Senior level,0.639,0.223,0.9,0.323
T1-Right,Junior level,0.631,0.181,0.913,0.274
PET-Left,BLS-Sia net,0.844,0.868,0.831,0.810
PET-Left,Sia net,0.824,0.767,0.859,0.770
PET-Left,RF,0.654,0.621,0.676,0.588
PET-Left,KNN,0.56,0.474,0.616,0.461
PET-Left,LR,0.575,0.315,0.747,0.370
PET-Left,Senior level,0.574,0.738,0.398,0.641
PET-Left,Junior level,0.561,0.532,0.593,0.556
PET-Right,BLS-Sia net,0.859,0.708,0.92,0.737
PET-Right,Sia net,0.842,0.834,0.845,0.747
PET-Right,RF,0.728,0.375,0.859,0.427
PET-Right,KNN,0.673,0.249,0.83,0.292
PET-Right,LR,0.593,0.428,0.654,0.362
PET-Right,Senior level,0.639,0.223,0.9,0.323
PET-Right,Junior level,0.631,0.181,0.913,0.274
