"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KRT17",0,2.78161759600346,0.803,0.284,0,"0","KRT17"
"KRT5",0,2.58452788742797,0.855,0.398,0,"0","KRT5"
"KRT16",0,2.39191579467633,0.597,0.179,0,"0","KRT16"
"MT.RNR1",0,2.23250180663157,0.996,0.98,0,"0","MT.RNR1"
"S100A2",0,2.21421823990325,0.891,0.592,0,"0","S100A2"
"KRT19",0,2.10468183931453,0.726,0.179,0,"0","KRT19"
"FXYD3",0,2.04863033866196,0.903,0.526,0,"0","FXYD3"
"IFI27",0,2.0223504857881,0.868,0.411,0,"0","IFI27"
"NEAT1",0,1.89193481273018,0.801,0.445,0,"0","NEAT1"
"ABCC5",0,1.88875702214209,0.723,0.238,0,"0","ABCC5"
"GSTP1",0,1.87898857857598,0.767,0.304,0,"0","GSTP1"
"CSTA",0,1.87212621171922,0.759,0.382,0,"0","CSTA"
"KRT6A",0,1.82309477311382,0.914,0.636,0,"0","KRT6A"
"CD9",0,1.78892683080739,0.736,0.309,0,"0","CD9"
"APOL1",0,1.75311697330775,0.51,0.129,0,"0","APOL1"
"MTRNR2L12",0,1.72958013609051,0.872,0.408,0,"0","MTRNR2L12"
"S100A11",0,1.70721595720065,0.937,0.693,0,"0","S100A11"
"IGFBP2",0,1.68392803617951,0.478,0.059,0,"0","IGFBP2"
"SOX2",0,1.67356631550581,0.545,0.131,0,"0","SOX2"
"PERP",0,1.65854537069003,0.708,0.296,0,"0","PERP"
"COL7A1",0,1.65008121130912,0.435,0.094,0,"0","COL7A1"
"RP11.48O20.4",0,1.6457607744756,0.458,0.058,0,"0","RP11.48O20.4"
"LGALS7B",0,1.64312422192969,0.399,0.03,0,"0","LGALS7B"
"S100A6",0,1.63261167813147,0.878,0.58,0,"0","S100A6"
"MTRNR2L1",0,1.58251019626291,0.763,0.324,0,"0","MTRNR2L1"
"HSPB1",0,1.56551256581707,0.938,0.722,0,"0","HSPB1"
"MT.RNR2",0,1.51076771196433,1,1,0,"0","MT.RNR2"
"RP5.857K21.10",0,1.4763018721055,0.98,0.924,0,"0","RP5.857K21.10"
"COX6B1",0,1.47577148530378,0.729,0.315,0,"0","COX6B1"
"LGALS3BP",0,1.46478601358019,0.673,0.232,0,"0","LGALS3BP"
"MT.ND4L",0,1.45756349080568,0.932,0.701,0,"0","MT.ND4L"
"SPINT2",0,1.43247819984784,0.73,0.331,0,"0","SPINT2"
"MT.ATP8",0,1.42137217859123,0.925,0.701,0,"0","MT.ATP8"
"MT.CO2",0,1.41250230960089,0.998,0.993,0,"0","MT.CO2"
"SFN",0,1.38737307383289,0.782,0.435,0,"0","SFN"
"GAPDH",0,1.37016225638864,0.943,0.855,0,"0","GAPDH"
"MT.ND4",0,1.35312069733769,1,0.999,0,"0","MT.ND4"
"MIR205HG",0,1.34820040361963,0.599,0.191,0,"0","MIR205HG"
"RP5.857K21.7",0,1.332052169157,0.664,0.239,0,"0","RP5.857K21.7"
"MT.CO1",0,1.33094790086068,0.996,0.991,0,"0","MT.CO1"
"RPL22L1",0,1.32557182522572,0.553,0.151,0,"0","RPL22L1"
"ROMO1",0,1.31060823263843,0.638,0.244,0,"0","ROMO1"
"LTBR",0,1.30997288474215,0.496,0.097,0,"0","LTBR"
"MT.ND5",0,1.28848631252452,0.998,0.993,0,"0","MT.ND5"
"MT.ATP6",0,1.25257270590322,0.999,0.999,0,"0","MT.ATP6"
"DNAJC19",0,1.25247057518487,0.491,0.127,0,"0","DNAJC19"
"RP5.857K21.8",0,1.24611003861032,0.848,0.51,0,"0","RP5.857K21.8"
"CTB.36O1.5",0,1.22923804429515,0.586,0.189,0,"0","CTB.36O1.5"
"EMP2",0,1.20004311685946,0.492,0.122,0,"0","EMP2"
"PLD3",0,1.1971425497647,0.524,0.15,0,"0","PLD3"
"MT.CYB",0,1.12009791394272,0.999,0.993,0,"0","MT.CYB"
"MT.ND2",0,0.96194294203454,1,0.999,0,"0","MT.ND2"
"MT.ND1",0,0.891932252957004,0.998,0.986,0,"0","MT.ND1"
"ELF3",2.25521066258864e-298,1.16903139861607,0.555,0.174,7.28252627163125e-294,"0","ELF3"
"KRT15",3.2300777794787e-298,1.83155271895766,0.417,0.092,1.04305671654926e-293,"0","KRT15"
"PKP1",1.08248065073659e-297,1.19802178338796,0.438,0.098,3.4955465173586e-293,"0","PKP1"
"MT.ND3",5.2042619534856e-283,0.745653249230421,0.999,0.992,1.68056027001957e-278,"0","MT.ND3"
"H2AFJ",2.09486906559803e-278,1.21349878007838,0.429,0.102,6.76475118662916e-274,"0","H2AFJ"
"MT.CO3",2.61143525322196e-275,1.04854432452755,0.978,0.93,8.43284671970435e-271,"0","MT.CO3"
"SDC1",2.68638035274241e-274,1.21083330513808,0.423,0.1,8.67485943507579e-270,"0","SDC1"
"MTRNR2L8",2.72194625373303e-274,1.14864023478052,0.441,0.112,8.78970884255469e-270,"0","MTRNR2L8"
"BLVRB",1.98197746762436e-271,1.04956502355898,0.332,0.047,6.4002016384526e-267,"0","BLVRB"
"YBX3",4.19567894733002e-270,1.00835292464759,0.545,0.183,1.35486864567181e-265,"0","YBX3"
"PDCD5",8.01322478717866e-254,1.03372863488517,0.41,0.1,2.58763054827573e-249,"0","PDCD5"
"JUP",1.30445934995594e-247,1.13402956592683,0.482,0.155,4.21236013287772e-243,"0","JUP"
"DSP",1.26569694519963e-245,1.09835219927129,0.425,0.114,4.08718857543865e-241,"0","DSP"
"KRT16P1",2.43059598838232e-245,1.33153802991442,0.347,0.068,7.84888056568417e-241,"0","KRT16P1"
"RBP1",3.62608141767434e-243,1.06425054032156,0.318,0.051,1.1709342113954e-238,"0","RBP1"
"LSR",7.88980107286365e-242,0.953003817942901,0.392,0.092,2.54777456244913e-237,"0","LSR"
"FABP5",2.21392428438415e-239,1.68605417118579,0.562,0.237,7.1492042991333e-235,"0","FABP5"
"CALML3",1.4098058837036e-238,1.07507431633363,0.285,0.035,4.55254515965567e-234,"0","CALML3"
"MALAT1",1.82163413330868e-238,1.34880273426224,0.983,0.987,5.8824209432804e-234,"0","MALAT1"
"GPX2",4.87442407655271e-232,1.02133852733665,0.272,0.031,1.5740490228004e-227,"0","GPX2"
"ANAPC11",1.82080283466851e-230,1.01562961249189,0.461,0.151,5.87973651371156e-226,"0","ANAPC11"
"B3GNT5",2.27365050574998e-221,1.04868830443903,0.349,0.078,7.34207221316782e-217,"0","B3GNT5"
"DST",4.47823019821847e-219,1.0868864101523,0.399,0.111,1.44611009560871e-214,"0","DST"
"FAM162A",4.36952774626083e-216,1.01051601086756,0.332,0.071,1.41100789982255e-211,"0","FAM162A"
"SEM1",1.19710041419136e-215,0.912256638180222,0.492,0.177,3.86567665750673e-211,"0","SEM1"
"KRT14",6.187255613504e-215,1.58000608948242,0.293,0.053,1.99798858271271e-210,"0","KRT14"
"CKB",1.90410374925211e-214,0.902294344317802,0.326,0.066,6.14873182708493e-210,"0","CKB"
"DDR1",5.31354386530935e-214,0.889950299977928,0.393,0.107,1.71584958498569e-209,"0","DDR1"
"DSG3",3.90266767225366e-213,1.01858399112575,0.256,0.031,1.26024944472415e-208,"0","DSG3"
"MRPS12",9.85234587837917e-210,0.885201360860218,0.331,0.072,3.1815195310462e-205,"0","MRPS12"
"RP5.940J5.9",1.58067799454771e-206,1.00361746111932,0.549,0.236,5.10432537999345e-202,"0","RP5.940J5.9"
"ID1",1.07121573026916e-205,1.04192686753885,0.47,0.17,3.45916983618516e-201,"0","ID1"
"NTS",1.5201328976695e-205,1.21912086920496,0.321,0.072,4.90881315315434e-201,"0","NTS"
"KRT8",3.76601843800033e-204,0.847905637499376,0.305,0.058,1.21612267399907e-199,"0","KRT8"
"ATN1",2.34413802186341e-203,0.856056015379795,0.614,0.282,7.56969050020134e-199,"0","ATN1"
"BEX3",6.08022388882689e-202,0.863845229835837,0.366,0.096,1.96342589817998e-197,"0","BEX3"
"RP1.17K7.2",5.95445089577882e-201,0.873819328403437,0.705,0.402,1.9228112832649e-196,"0","RP1.17K7.2"
"RP5.857K21.6",1.16496350181859e-197,1.01307585078218,0.824,0.601,3.7619001400726e-193,"0","RP5.857K21.6"
"RP5.857K21.9",1.38378408304445e-196,0.749108383663384,0.972,0.92,4.46851556096714e-192,"0","RP5.857K21.9"
"RPL36",2.88039404325232e-196,0.827807930595303,0.833,0.677,9.3013684444704e-192,"0","RPL36"
"MIF",2.01881035258482e-194,0.8729036556674,0.372,0.106,6.5191423905669e-190,"0","MIF"
"RPS16",3.2749847076797e-194,0.878646264147848,0.884,0.813,1.05755806180393e-189,"0","RPS16"
"CSTB",8.19302090916136e-194,1.2130608785841,0.945,0.85,2.64569031198639e-189,"0","CSTB"
"S100A16",6.41082901038869e-193,1.05334221852322,0.39,0.121,2.07018490403472e-188,"0","S100A16"
"SNORD3A",2.33762109593096e-190,1.19090300925668,0.515,0.219,7.54864604298027e-186,"0","SNORD3A"
"PKP3",6.50790926796137e-188,0.783328333302973,0.284,0.055,2.10153406081009e-183,"0","PKP3"
"FXR1",2.67670156397514e-186,0.837530223496515,0.53,0.223,8.64360469038851e-182,"0","FXR1"
"UCHL1",5.6908206417156e-185,0.891345481813143,0.345,0.094,1.8376798016228e-180,"0","UCHL1"
"MDK",9.6770192961247e-185,0.736275958870737,0.404,0.128,3.12490307110459e-180,"0","MDK"
"SCAND1",2.46448766248214e-184,0.748206281303675,0.304,0.067,7.95832355968732e-180,"0","SCAND1"
"PLAC8",1.52925344999704e-182,1.01810221405714,0.324,0.084,4.93826524073043e-178,"0","PLAC8"
"MT1E",1.16708457829339e-179,0.895962266114574,0.383,0.122,3.76874952022503e-175,"0","MT1E"
"EIF2S2",3.99645649084281e-179,0.855049245026429,0.495,0.204,1.29053573002296e-174,"0","EIF2S2"
"SNHG6",5.37250911336069e-179,0.791164023931286,0.612,0.301,1.73489064288643e-174,"0","SNHG6"
"RP11.777B9.5",3.08336315047347e-178,0.800822910115633,0.301,0.069,9.95679628550892e-174,"0","RP11.777B9.5"
"PTN",9.79599931543203e-178,0.789390459584604,0.26,0.047,3.16332409893931e-173,"0","PTN"
"PRDX5",2.3736564803681e-172,0.79710481285972,0.531,0.238,7.66501150640466e-168,"0","PRDX5"
"HES1",2.30538303568669e-171,0.758682847593822,0.385,0.123,7.44454289883947e-167,"0","HES1"
"ACTN4",3.35246405437649e-171,0.780981552472235,0.754,0.478,1.08257769243926e-166,"0","ACTN4"
"COX5B",6.41559297921251e-171,0.780167843810537,0.499,0.212,2.0717232848473e-166,"0","COX5B"
"KLF5",3.80230534261076e-168,0.795974566491337,0.305,0.077,1.22784044123587e-163,"0","KLF5"
"YEATS2",9.59878376781085e-168,0.722362166794658,0.306,0.076,3.09963925430148e-163,"0","YEATS2"
"FBL",5.58409038100609e-165,0.782738325030932,0.551,0.26,1.80321446583449e-160,"0","FBL"
"LAMA5",1.0826650699699e-162,0.725531240989028,0.329,0.093,3.49614204394682e-158,"0","LAMA5"
"ATP5G1",1.62285830468596e-162,0.777475457344744,0.394,0.139,5.24053403749191e-158,"0","ATP5G1"
"RP11.466H18.1",2.76057313212145e-160,0.790609361140317,0.725,0.488,8.91444275824659e-156,"0","RP11.466H18.1"
"LY6E",1.05447301277778e-159,0.861544191810292,0.687,0.426,3.405104252862e-155,"0","LY6E"
"SGK1",1.1863282155392e-158,0.789322602687843,0.405,0.148,3.8308910736192e-154,"0","SGK1"
"SEPP1",2.11177093552366e-156,0.769883862933476,0.27,0.064,6.81933070499299e-152,"0","SEPP1"
"EIF6",1.59307669051612e-154,0.818746119522118,0.52,0.246,5.14436324901465e-150,"0","EIF6"
"CLDN4",3.06995514128596e-152,0.794686634648667,0.722,0.449,9.91349914224063e-148,"0","CLDN4"
"LAD1",9.12429490371551e-152,0.689150888489011,0.268,0.063,2.94641731030781e-147,"0","LAD1"
"PSENEN",1.26078678232452e-151,0.700554830023469,0.359,0.119,4.07133267748234e-147,"0","PSENEN"
"MAL2",9.39887110790676e-151,0.809855586093248,0.371,0.129,3.03508345816525e-146,"0","MAL2"
"LY6D",1.47134724920647e-149,1.17918642985431,0.293,0.084,4.75127453713753e-145,"0","LY6D"
"CYC1",1.89478681316924e-149,0.692398598726765,0.28,0.073,6.11864557708612e-145,"0","CYC1"
"TACSTD2",1.68240287311505e-148,0.756916600020705,0.466,0.195,5.43281535786313e-144,"0","TACSTD2"
"SAMD4B",2.06139361038349e-148,0.655531596393675,0.314,0.092,6.65665224665037e-144,"0","SAMD4B"
"CTD.2319I12.1",1.20522969188226e-147,1.3791054283014,0.433,0.185,3.8919277210262e-143,"0","CTD.2319I12.1"
"HEBP2",9.64162714689661e-147,0.661161534389138,0.304,0.087,3.11347423827585e-142,"0","HEBP2"
"COX6C",1.77881095196022e-146,0.732500190873736,0.687,0.43,5.74413632606993e-142,"0","COX6C"
"KRT13",2.46516590443822e-146,1.26854843998584,0.685,0.418,7.96051373861192e-142,"0","KRT13"
"PARL",4.09633650601482e-145,0.683050952753352,0.344,0.112,1.32278898452231e-140,"0","PARL"
"PLXNB2",2.2731862278754e-143,0.672939489073914,0.285,0.078,7.34057296705525e-139,"0","PLXNB2"
"C14orf156",2.83154745130796e-142,0.664981057342194,0.298,0.087,9.14363302976367e-138,"0","C14orf156"
"SREBF1",8.26267416939819e-142,0.697616346476762,0.329,0.106,2.66818274278206e-137,"0","SREBF1"
"H1F0",4.33874700283392e-141,0.832846038847594,0.315,0.1,1.40106818215513e-136,"0","H1F0"
"RPL8",4.8813053956276e-141,0.788927207000248,0.834,0.73,1.57627113835606e-136,"0","RPL8"
"HGS",8.37982451892485e-141,0.643780000630625,0.3,0.087,2.70601293365121e-136,"0","HGS"
"MLF2",8.93058060460122e-141,0.666494363660552,0.428,0.175,2.88386308883783e-136,"0","MLF2"
"NUPR1",1.51329849096767e-140,0.881451981400727,0.275,0.076,4.88674348703279e-136,"0","NUPR1"
"PSMC4",5.94028688365028e-140,0.657156109763836,0.372,0.135,1.91823744046835e-135,"0","PSMC4"
"GIPC1",2.90605934665142e-139,0.651457818482218,0.257,0.063,9.38424684220678e-135,"0","GIPC1"
"TNFRSF1A",4.29912098972235e-139,0.637245098318787,0.311,0.096,1.38827215000114e-134,"0","TNFRSF1A"
"FKBP2",2.31982327816107e-138,0.623558768053916,0.362,0.129,7.49117332983771e-134,"0","FKBP2"
"LAMTOR4",2.86148854820263e-138,0.679141339049147,0.391,0.151,9.24031881985592e-134,"0","LAMTOR4"
