Age;Sex;Uptake Value;SUV;SUVr_refPons
0.5;F;20.56606667;1.331324908;1.013044353
0.5;F;20.7588;1.251010195;1.442860866
0.5;M;24.9608;1.284893892;1.321481325
0.5;F;30.32946667;1.94016396;1.309638803
0.5;F;4.0862;0.677306783;1.64451152
1.5;F;33.68323333;2.363485632;1.521986405
1.5;F;35.69653333;2.182653829;1.695334212
2.5;F;37.83803333;1.559594971;1.439532255
2.5;F;54.07236667;2.426695396;1.470464634
2.5;F;48.17123333;2.06810293;1.745824764
2.5;F;35.44933333;1.657988258;1.571872196
2.5;M;47.87033333;2.23369809;1.593781178
2.5;M;55.49556667;2.518588188;1.611226842
2.5;M;52.2171;2.379048076;1.789224992
2.5;M;25.23476667;2.0175;1.703900518
2.5;M;36.48613333;1.819010065;1.978656732
2.5;F;53.61269167;3.374939426;1.450492044
2.5;M;43.38578;2.318883629;1.324228365
2.5;F;43.37643333;2.504838564;1.690110534
2.5;F;50.56021667;1.424019268;1.869495178
2.5;F;74.507;2.568173297;1.805593421
2.5;F;44.054;2.222384851;1.753895644
2.5;F;36.8737;1.854703345;1.797007724
2.5;F;40.5025;2.258357133;1.705235592
3.5;F;16.1433;1.82069911;2.069415067
3.5;M;9.880633333;1.02797114;1.943495379
3.5;M;42.95303333;1.965605291;1.696883144
3.5;F;30.66963333;1.272972626;1.688777416
3.5;F;14.50126667;0.772557725;1.470284264
3.5;M;56.783;2.084112409;1.522916292
3.5;M;57.1308;1.713895265;1.52195387
3.5;M;77.69541667;1.540223953;1.763677488
3.5;M;59.53796667;2.200851021;1.68195374
3.5;F;7.393466667;1.009120891;1.772652257
3.5;F;44.18443333;2.023711489;1.663749059
3.5;F;28.5688;1.149206288;1.631109424
3.5;F;88.63363333;2.068066275;1.500671462
3.5;F;28.33366667;1.429259027;1.606244248
3.5;F;42.5139;2.48140302;1.780202249
3.5;F;29.56673333;1.593464884;1.811509493
3.5;M;45.90886667;2.702826616;1.536585311
3.5;M;64.70996667;2.549003137;1.857120376
3.5;M;71.95403333;2.883872451;2.118429104
3.5;M;45.1586;2.855089278;1.61915655
3.5;M;55.9912;2.898077545;1.954177799
3.5;M;63.09243333;2.586980102;1.779354289
4.5;F;60.12556667;1.570399031;1.743730364
4.5;F;59.15266667;2.645830918;2.070312796
4.5;F;66.25766667;2.759957399;1.66293543
4.5;F;46.36326667;1.886842288;1.694477134
4.5;F;32.2095;1.844894951;1.745791282
4.5;F;28.98066667;2.041437914;1.698306518
4.5;F;32.55073333;1.660536499;1.512071135
4.5;F;40.76273333;2.403602241;1.864133761
4.5;F;34.71753333;2.033953859;1.64607114
4.5;M;42.36566667;1.897320042;1.548557438
4.5;M;57.8676;3.125748878;2.133375607
4.5;M;64.0671;3.127844812;1.856627231
4.5;M;74.128;3.677398588;2.214355914
4.5;M;52.345;2.546367872;1.950406141
4.5;M;56.4511;2.562628813;2.304427517
4.5;M;60.479;3.082237998;1.736664676
4.5;M;29.41075767;1.297985383;1.841520757
4.5;M;20.73892567;0.827596865;1.222590905
5.5;F;26.58933333;2.125492819;1.628016381
5.5;F;29.93166667;2.182475814;1.678179093
7.5;M;52.7423;2.628698921;1.784321056
7.5;M;39.8963;2.28721431;1.65228069
7.5;F;61.9359;2.34712446;1.443042752
8.5;M;54.9237;2.436090751;1.537096896
8.5;F;27.58076667;1.207351498;1.548659092
8.5;F;41.5287;2.384462662;1.551581519
8.5;F;42.82453333;2.123210357;1.39200683
8.5;F;42.27613333;2.930967245;1.198072178
8.5;F;38.10756667;1.732821762;1.373787735
9.5;F;42.19003333;2.428280601;1.36955949
10.5;F;42.1922;2.716238742;1.385024201
10.5;M;22.553409;1.808024837;1.283326391
10.5;F;48.95733333;1.950962806;1.39192275
10.5;F;45.60133333;2.489641386;1.523088082
10.5;F;32.28416667;2.423608036;1.454982341
10.5;F;34.10186667;1.480920423;1.574725727
10.5;F;43.09026667;2.244270634;1.153957325
11.5;M;27.17196667;1.91082617;1.317885554
11.5;F;32.55803333;1.392283118;1.480994425
11.5;M;33.9489;2.129732366;1.551095282
11.5;F;41.16023333;3.296181525;1.365396981
11.5;F;15.87103333;2.306484951;1.307161604
12.5;F;29.33996667;2.325272569;1.290670198
13.5;F;46.79973333;2.643138662;1.456538067
13.5;F;17.6009;1.679527448;1.35156574
14.5;M;41.75343333;2.726206106;1.434071891
14.5;F;23.76253333;1.573192943;1.310663913
14.5;F;22.54866667;1.935493907;1.2744724
14.5;F;10.71533333;1.458181074;1.309254711
14.5;F;23.4722;1.834805119;1.469087586
14.5;F;19.22106667;1.518974773;1.121618651
14.5;F;21.63146667;2.325726807;1.440484435
15.5;F;29.71143333;1.899633333;1.399255117
15.5;F;4.8235;1.869937064;1.365714852
15.5;F;13.9009;1.331669736;1.288886622
15.5;F;16.3565;1.713576768;1.413638131
17.5;M;39.74066667;2.615901847;1.48567683
17.5;M;20.73833333;1.410718381;1.228105452
18.5;M;21.95413333;1.837071964;1.179736709
19.5;F;20.09126667;2.047471329;1.277769651
19.5;M;19.85535433;1.033702843;1.142506964
19.5;M;25.51452267;1.737774143;1.172502798
20.5;M;27.30056667;1.87234966;1.454521399
21.5;F;11.79513333;1.228477507;1.279028116
21.5;F;28.64721667;0.898328368;1.403102636
22.5;F;14.83176667;1.505532002;1.18661253
22.5;F;13.78903333;1.757263755;1.050076978
22.5;F;22.61296667;2.534278656;1.415229822
23.5;F;25.93063333;2.726576965;1.278388143
23.5;F;18.2276;1.978180839;1.361106651
23.5;F;12.16273333;1.405121644;1.286041061
23.5;F;10.2673;1.045407277;1.030641284
24.5;F;9.796033333;1.475915317;1.243119887
24.5;F;15.45096667;1.20935274;1.304231241
24.5;F;20.49776667;1.986267239;1.413137173
24.5;F;27.49953333;2.259310729;1.354970527
24.5;F;15.0012;1.931580795;1.311511527
24.5;F;20.81256667;2.528245387;1.383317603
25.5;F;25.69706667;1.943044491;1.310773887
25.5;F;19.39033333;2.032504832;1.133672435
25.5;F;14.68663333;1.321772724;1.121450915
26.5;M;35.1698;1.940115418;1.216190608
26.5;F;32.1656;2.342131863;1.21481392
