Age;Sex;Volume;Weight;TBV/Weight 
0.5;F;61.090375;1.4;43.63598214
0.5;F;59.06589063;1.3;45.43530048
0.5;M;68.61096875;1.6;42.88185547
0.5;F;57.49479688;1.3;44.22676683
0.5;F;58.3895625;1.3;44.91504808
0.5;M;64.63275;1.5;43.0885
1.5;F;63.13428125;2.15;29.36478198
1.5;F;61.42567188;2;30.71283594
1.5;F;62.87976563;2;31.43988281
2.5;F;64.94945313;2.68;24.23487057
2.5;F;66.13878125;2.7;24.49584491
2.5;F;55.79478125;2.1;26.56894345
2.5;F;69.30429688;2.8;24.7515346
2.5;M;66.539;2.2;30.245
2.5;M;62.95340625;2.6;24.21284856
2.5;M;66.2975625;2.75;24.10820455
2.5;F;61.04178125;2.2;27.7462642
2.5;F;61.83560938;2.1;29.44552827
2.5;F;60.58642188;2;30.29321094
2.5;F;60.28784375;2.4;25.1199349
2.5;F;63.78679688;2.5;25.51471875
2.5;F;57.88648438;2.3;25.16803668
2.5;F;63.7653125;2.8;22.77332589
3.5;F;67.32859375;2.6;25.89561298
3.5;M;71.99921875;2.5;28.7996875
3.5;M;75.20034375;2.7;27.85197917
3.5;M;61.37396875;2.2;27.89725852
3.5;F;60.39901563;2.4;25.16625651
3.5;M;67.22948438;2.95;22.78965572
3.5;M;59.56415625;2.5;23.8256625
3.5;M;73.55145313;3.08;23.88034192
3.5;M;69.66017188;2.84;24.52822953
3.5;F;62.88701563;3.1;20.28613407
3.5;F;62.3936875;3.05;20.45694672
3.5;F;65.152;2.5;26.0608
3.5;F;65.49921875;2.7;24.25896991
3.5;F;74.43809375;3.3;22.55699811
3.5;F;67.3284375;3.3;20.40255682
3.5;F;64.53496875;2.8;23.04820313
3.5;M;67.3914375;3.114;21.64143786
3.5;M;71.55767188;3.47;20.62180746
3.5;M;67.034875;3.095;21.65908724
3.5;M;76.09821875;3.216;23.66238145
3.5;M;65.4458125;2.869;22.8113672
3.5;M;67.2303125;2.803;23.98512754
3.5;M;70.12826563;2.55;27.50128064
3.5;M;72.29076563;4.25;17.00959191
4.5;F;66.37760938;3.08;21.55117188
4.5;F;66.29717188;3.42;19.38513798
4.5;F;64.67732813;3.2;20.21166504
4.5;F;66.79890625;3.6;18.55525174
4.5;F;66.82625;3.55;18.82429577
4.5;F;70.78371875;4.3;16.46132994
4.5;F;74.95785938;4.35;17.23169181
4.5;F;62.32239063;3.1;20.10399698
4.5;F;72.39434375;4.3;16.8358939
4.5;F;63.77092188;3.5;18.22026339
4.5;M;60.30471875;3.7;16.29857264
4.5;M;70.84934375;4;17.71233594
4.5;M;73.52392188;4.1;17.93266387
4.5;M;70.14065625;3.85;18.21835227
4.5;M;78.0055;3.65;21.37136986
4.5;M;66.16140625;3.4;19.45923713
4.5;M;66.37910938;2.75;24.13785795
4.5;M;61.93940625;4.8;12.90404297
4.5;M;80.49521875;6;13.41586979
5.5;F;63.54917188;3.55;17.90117518
5.5;F;65.69434375;3.55;18.50544894
5.5;M;80.52221875;4.75;16.95204605
5.5;M;67.97214063;5.2;13.0715655
5.5;M;63.257375;5.8;10.90644397
5.5;M;73.4094375;6.45;11.38130814
5.5;M;84.91746875;5.85;14.51580662
5.5;M;73.90451563;4.85;15.23804446
5.5;M;73.65517188;5.1;14.44219056
5.5;M;81.44270313;5;16.28854063
6.5;F;63.7124375;4.1;15.5396189
