id	ID	age	Age	Sex	Weight	whole	SUVr_whole_refPons
	0	0	0	F	0	0	0
	0	0	0	M	0	0	0
	C22006	11m	0.5	F	1.4	20.56606667	1.013044353
	C22010	10m	0.5	F	1.3	20.7588	1.442860866
	C22019	11m	0.5	M	1.6	24.9608	1.321481325
	C22028	9m	0.5	F	1.3	30.32946667	1.309638803
	C22032	9m	0.5	F	1.3	4.0862	1.64451152
rNo002	HY20191018C180174	001Y	1.5	F	2.2	33.68323333	1.521986405
rNo003	HY20191018C180190	001Y	1.5	F	2.15	35.69653333	1.695334212
rNo009	HY20171014C1501116	002Y	2.5	F	2.68	37.83803333	1.439532255
rNo010	HY20180713C160148	002Y	2.5	F	2.7	54.07236667	1.470464634
rNo011	HY20180713C160172	002Y	2.5	F	2.1	48.17123333	1.745824764
rNo012	HY20180713C160184	002Y	2.5	F	2.8	35.44933333	1.571872196
rNo013	HY20180713C160539	002Y	2.5	M	2.2	47.87033333	1.593781178
rNo014	HY20180713C160565	002Y	2.5	M	2.3	55.49556667	1.611226842
rNo015	HY20190920C170337	002Y	2.5	M	2.6	52.2171	1.789224992
rNo016	HY20190920C170575	002Y	2.5	M	2.1	25.23476667	1.703900518
rNo017	HY20190920C170613	002Y	2.5	M	2.75	36.48613333	1.978656732
wrNo018	HY20190921C170448	002Y	2.5	F	2.55	53.61269167	1.450492044
wrNo019	HY20190921C170549	002Y	2.5	M	2.4	43.38578	1.324228365
rNo020	HY20190927C170010	002Y	2.5	F	2.2	43.37643333	1.690110534
rNo021	HY20190927C170284	002Y	2.5	F	2.1	50.56021667	1.869495178
rNo022	HY20190927C170320	002Y	2.5	F	2	74.507	1.805593421
rNo023	HY20190927C170336	002Y	2.5	F	2.4	44.054	1.753895644
rNo024	HY20190927C170360	002Y	2.5	F	2.5	36.8737	1.797007724
rNo026	HY20190927C170470	002Y	2.5	F	2.8	40.5025	1.705235592
rNo027	HY20180531C1501116	003Y	3.5	F	2.6	16.1433	2.069415067
rNo029	HY20180531C150175	003Y	3.5	M	2.7	9.880633333	1.943495379
rNo030	HY20180713C150469	003Y	3.5	M	2.2	42.95303333	1.696883144
rNo031	HY20180713C150680	003Y	3.5	F	2.4	30.66963333	1.688777416
rNo032	HY20180713C150682	003Y	3.5	F	2.2	14.50126667	1.470284264
rNo033	HY20190412C160023	003Y	3.5	M	2.95	56.783	1.522916292
rNo034	HY20190412C160079	003Y	3.5	M	2.5	57.1308	1.52195387
rNo035	HY20190510C160011	003Y	3.5	M	3.08	77.69541667	1.763677488
rNo036	HY20190510C160077	003Y	3.5	M	2.84	59.53796667	1.68195374
rNo037	HY20190830C150622	003Y	3.5	F	3.1	7.393466667	1.772652257
rNo038	HY20190830C160064	003Y	3.5	F	3.05	44.18443333	1.663749059
rNo039	HY20190830C160250	003Y	3.5	F	2.5	28.5688	1.631109424
rNo040	HY20190830C160276	003Y	3.5	F	2.7	88.63363333	1.500671462
rNo041	HY20190830C160280	003Y	3.5	F	3.3	28.33366667	1.606244248
rNo042	HY20190830C160394	003Y	3.5	F	3.3	42.5139	1.780202249
rNo043	HY20190830C160438	003Y	3.5	F	2.8	29.56673333	1.811509493
rNo044	HY20191025C160029	003Y	3.5	M	3.114	45.90886667	1.536585311
rNo045	HY20191025C160089	003Y	3.5	M	3.47	64.70996667	1.857120376
rNo046	HY20191025C160115	003Y	3.5	M	3.095	71.95403333	2.118429104
rNo047	HY20191025C160135	003Y	3.5	M	3.216	45.1586	1.61915655
rNo048	HY20191025C160157	003Y	3.5	M	2.869	55.9912	1.954177799
rNo049	HY20191025C160161	003Y	3.5	M	2.803	63.09243333	1.779354289
rNo052	HY20190510C150064	004Y	4.5	F	3.08	60.12556667	1.743730364
rNo054	HY20190510C151001	004Y	4.5	F	3.42	59.15266667	2.070312796
rNo055	HY20190830C150654	004Y	4.5	F	3.2	66.25766667	1.66293543
rNo056	HY20191101C150134	004Y	4.5	F	3.6	46.36326667	1.694477134
rNo057	HY20191101C150520	004Y	4.5	F	3.55	32.2095	1.745791282
rNo058	HY20191101C150660	004Y	4.5	F	4.3	28.98066667	1.698306518
rNo059	HY20191115C150028	004Y	4.5	F	4.35	32.55073333	1.512071135
rNo062	HY20191115C150424	004Y	4.5	F	4.3	40.76273333	1.864133761
rNo063	HY20191115C150526	004Y	4.5	F	3.5	34.71753333	1.64607114
rNo065	HY20191115C150634	004Y	4.5	M	3.7	42.36566667	1.548557438
rNo066	HY20200627C160001	004Y	4.5	M	4	57.8676	2.133375607
rNo067	HY20200627C160002	004Y	4.5	M	4.1	64.0671	1.856627231
rNo068	HY20200627C160003	004Y	4.5	M	3.85	74.128	2.214355914
rNo069	HY20200627C160004	004Y	4.5	M	3.65	52.345	1.950406141
rNo070	HY20200627C160007	004Y	4.5	M	3.4	56.4511	2.304427517
rNo071	HY20200627C160008	004Y	4.5	M	2.75	60.479	1.736664676
wrNo072	HY20200718C160005	004Y	4.5	M	3.55	29.41075767	1.841520757
wrNo073	HY20200718C160006	004Y	4.5	M	4	20.73892567	1.222590905
rNo076	HY20191101C140336	005Y	5.5	F	3.55	26.58933333	1.628016381
rNo077	HY20191115C140620	005Y	5.5	F	3.55	29.93166667	1.678179093
rNo096	HY20190816C120397	007Y	7.5	M	11.48	52.7423	1.784321056
rNo097	HY20190816C122019	007Y	7.5	M	8.1	39.8963	1.65228069
rNo100	HY20200912C130344	007Y	7.5	F	4.8	61.9359	1.443042752
rNo102	HY20180525C100165	008Y	8.5	M	4.8	54.9237	1.537096896
rNo103	HY20190316C1150118	008Y	8.5	F	3.5	27.58076667	1.548659092
rNo104	HY20200912C120140	008Y	8.5	F	5.7	41.5287	1.551581519
rNo105	HY20200912C120280	008Y	8.5	F	5.5	42.82453333	1.39200683
rNo106	HY20200912C120838	008Y	8.5	F	7.6	42.27613333	1.198072178
rNo107	HY20200912C124898	008Y	8.5	F	6.2	38.10756667	1.373787735
rNo112	HY20200912C110714	009Y	9.5	F	7.6	42.19003333	1.36955949
rNo117	HY20191122C090204	010Y	10.5	F	6.8	42.1922	1.385024201
wrNo120	HY20200904C100165	010Y	10.5	M	7.35	22.553409	1.283326391
rNo121	HY20201101C100036	010Y	10.5	F	5.25	48.95733333	1.39192275
rNo122	HY20201101C100196	010Y	10.5	F	7.6	45.60133333	1.523088082
rNo123	HY20201101C100252	010Y	10.5	F	8.3	32.28416667	1.454982341
rNo124	HY20201101C100612	010Y	10.5	F	5.85	34.10186667	1.574725727
rNo125	HY20201101C100760	010Y	10.5	F	6.8	43.09026667	1.153957325
rNo126	HY20170826C063519	011Y	11.5	M	9	27.17196667	1.317885554
rNo127	HY20190316C084134	011Y	11.5	F	3.2	32.55803333	1.480994425
rNo129	HY20190816C085623	011Y	11.5	M	10.28	33.9489	1.551095282
rNo131	HY20191129C085572	011Y	11.5	F	7.1	41.16023333	1.365396981
rNo132	HY20191206C085212	011Y	11.5	F	9.1	15.87103333	1.307161604
rNo136	HY20191129C074448	012Y	12.5	F	7.4	29.33996667	1.290670198
rNo140	HY20191122C065002	013Y	13.5	F	6.9	46.79973333	1.456538067
rNo141	HY20191213C060672	013Y	13.5	F	6.1	17.6009	1.35156574
rNo145	HY20180525C040117	014Y	14.5	M	7.7	41.75343333	1.434071891
rNo147	HY20191122C055676	014Y	14.5	F	7.6	23.76253333	1.310663913
rNo148	HY20191129C051204	014Y	14.5	F	6.5	22.54866667	1.2744724
rNo149	HY20191206C050122	014Y	14.5	F	5.3	10.71533333	1.309254711
rNo150	HY20191206C050226	014Y	14.5	F	5.2	23.4722	1.469087586
rNo151	HY20191206C050816	014Y	14.5	F	7.5	19.22106667	1.121618651
rNo153	HY20191213C050880	014Y	14.5	F	6.6	21.63146667	1.440484435
rNo157	HY20191122C040454	015Y	15.5	F	6.7	29.71143333	1.399255117
rNo159	HY20191122C045040	015Y	15.5	F	7.2	4.8235	1.365714852
rNo160	HY20191129C041404	015Y	15.5	F	4.45	13.9009	1.288886622
rNo162	HY20191206C044102	015Y	15.5	F	6.8	16.3565	1.413638131
rNo174	HY20180525C010207	017Y	17.5	M	7.6	39.74066667	1.48567683
wrNo177	HY20200904C030227	017Y	17.5	M	7.1	20.73833333	1.228105452
rNo179	HY20170826C99415	018Y	18.5	M	8.06	21.95413333	1.179736709
rNo181	HY20191213C0001806	019Y	19.5	F	5.5	20.09126667	1.277769651
wrNo182	HY20200904C010207	019Y	19.5	M	7.8	19.85535433	1.142506964
wrNo183	HY20200904C01103	019Y	19.5	M	8.7	25.51452267	1.172502798
rNo184	HY20190816C990509	020Y	20.5	M	7.22	27.30056667	1.454521399
rNo189	HY20200110C99386	021Y	21.5	F	4	11.79513333	1.279028116
rNo191	HY20210801C003426	021Y	21.5	F	3.2	28.64721667	1.403102636
rNo193	HY20191220C970322	022Y	22.5	F	5.8	14.83176667	1.18661253
rNo194	HY20200103C981036	022Y	22.5	F	7.5	13.78903333	1.050076978
rNo195	HY20200110C980062	022Y	22.5	F	4.7	22.61296667	1.415229822
rNo204	HY20200103C970812	023Y	23.5	F	6	25.93063333	1.278388143
rNo205	HY20200103C970850	023Y	23.5	F	5	18.2276	1.361106651
rNo206	HY20200110C970310	023Y	23.5	F	4	12.16273333	1.286041061
rNo207	HY20200110C970318	023Y	23.5	F	4.5	10.2673	1.030641284
rNo214	HY20191220C951048	024Y	24.5	F	5.7	9.796033333	1.243119887
rNo215	HY20191220C95496	024Y	24.5	F	3.9	15.45096667	1.304231241
rNo216	HY20200103C960508	024Y	24.5	F	4.2	20.49776667	1.413137173
rNo217	HY20200103C96790	024Y	24.5	F	4.8	27.49953333	1.354970527
rNo218	HY20200103C96876	024Y	24.5	F	4.5	15.0012	1.311511527
rNo219	HY20200110C960528	024Y	24.5	F	4.75	20.81256667	1.383317603
rNo225	HY20191220C94638	025Y	25.5	F	4.8	25.69706667	1.310773887
rNo226	HY20200103C951020	025Y	25.5	F	5.3	19.39033333	1.133672435
rNo227	HY20200111C95726	025Y	25.5	F	4.15	14.68663333	1.121450915
rNo232	HY20190816C93319	026Y	26.5	M	8.52	35.1698	1.216190608
rNo233	HY20200103C94564	026Y	26.5	F	4.7	32.1656	1.21481392
